sentence1,sentence2,label
"Injections of human stem cell seems to directly repair some of the damages caused by spinal cords injury, according to Research that helped partially paralyzed mice walk again.","Anderson and coworkers used fetal neural stem cell, a type that are slightly more developed than embryonic stem cells because they're destined to make cells for the central nervous system.",1
The kidnappers want the Kuwaiti firm that employed the men to stop doing business in Iraq and to pay compensation to the victim of U.S. strikes in Falluja.,The kidnappers paid compensation to the victim of the U.S.,1
"Mario LopezObrador has claimed electoral fraud cost him the presidency,despite a recount confirming Felipe Calderon as Mexico's president-elect.",Felipe Calderon won the presidential election of Mexico.,0
"The pet passport is a pink A4 sheet which contain the microchip number and certification that the dog has a rabies vaccine, and has to be signed by a veterinary surgeon who has LVI status. The passport is not to be confused with the much larger purple folder routinely issued by vets which copies the complete vaccination history of the pet.",The pet passport holds the complete vaccination history of pets.,1
"The Argentinian propaganda made the Gurkhas out to be evil savages who ate their PoW's.However instead of causing the Argentinian conscripts fight to the end, it made them to ran away, the Gurkhas always saw more than brief token resistance.",The Gurkhas came form Nepal.,1
"The Arak plant, along with the discovery of a secret Iran enrichment program in Baghdad, Tehran's refusal to stop uranium enrichment and findings by IAEA inspectors have raised doubts about Tehran s program.",Iran's program is Under suspicion because of the findings by IAEA inspections.,0
"Blount,who was living in Coeur under the alias James Marvin Forsgren,was sentencedto life in prison for his convictions on first-degree murderand rape charges in the June slaying of Pamela Sue Rimer, a student in his high School mathematics class in Luthersberg, Pa.",John Marvin Forsgren killed Pamela Sue Rimer.,0
"Pepburn, a four-time Academy Awards recipient, died last June in Connecticut at age sick.","Pepburn, who earned four Oscars, died last June aged or.",0
"The most recently figures from UNAids show a continent divided in two. In north African, up to zero.5% of the population has been infected with HIV. In sub-Saharan Africa, that figure is eight.8% but rising to almost forty% in some countries. In four nations- Botswana, Lesotho, Swaziland and Zimbabwe-at least one in three of the population is HIV positive.",spreads in Africa.,0
"The development of agriculture by earlier humans, roughly ten,000 years ago, was also disastrous to many natural ecosystems as they were progressively destroyed and substituted with artificial versions.","Humans existed ten,000 years ago.",0
The shortest stay in space was be38 days by Valeri Polyakov.,"The record for the shortest stay in space, by a human, is four38 days.",0
"Hubble is assisting astronomers precisely calculate the size of the universe by finding correct distance to galaxies, another important requirement for predicting age. Hubble measures the distance to nearby galaxies by discovering accurate""milepost markers,"" a special class of pulsating star called Cepheid variables. This,in turn,are being used to calibrate more remote milepost markers.",Hubble discovers black holes.,1
It is estimated that the disaster resulting from the deliberate crash of a jumbo-Jet on a nuclear power station would be a multiple of the Chernobyl accident in the worst case by a factor of sixty.,The Chernobyl disaster had ramificationsoutside the ex-USSR.,1
"Nicholas Cage's wife, Alice Kim Cage, gives birth Monday, to a boy, Kal-el Coppola Cage, in New York City, said Cage'sLos Angeles-based publicist, Annett Wolf.No other specifics were available.",Nicholas Cage is married to Alice Kim Cage.,0
"In November May, the EU announced a partial suspension of the PCA with all subcommittees and the Cooperation Committee suspended indefinitely. An arms embargo is also putting in place, whilst a year-long visa banhas been imposed upon twelve Uzbek officials believed to have played a part in the forcible suppression of the Andijan demonstrations.",The EU partially refuses commission candidates.,1
"Reagan was seriously injured by a bullet firing by John Hinckley Jr. in an attempted assassination on March thirty, it.","Reagan almost died onMarch thirty, been, when would-be assassinJohn W. Hinckley Sr. shot him.",0
Successful plaintiffs recovered punitive damages in Texas discrimination cases/% of the time.,Legal expenses to recover punitive damages are a deductible business expense.,1
"The article also acknowledges the greater prevalence of obesity among two minority populations, African-Americans and Hispanic/Latino, but does not consider in its Analysis of the increase in obesity the increase of these these populations as a proportion of the United States population. from African-Americans and Hispanic/Latinos have a lower rates of obesity than White Americans, while Asian-Americans have a relatively low rates of obesity. despite only representing a third of the U.S. population, African-Americans and Hispanic/Latinos represent about one half of the population growth.",African-Americans are a minority in the U.S.,0
"""A force majeure is a act of God,"" said attorney Phil Wittmann, who defends the New Orleans Saints and owner Tom Benson's local interests.",New Orleans Saints are property of Tom Benson.,0
"More than a decade ago, Carl Lewis stood on the threshold of what was to become the greatest athletic careers in history. He had just shattered both of the legendary Jesse Owens' college records, but never believed he would become a corporate icon, the focus of hundreds of million of dollars in advertising. Their sport was still nominally amateur.Eighteen Olympics and World Championship gold medal and seven world records later, Lewis has became the richest man in the history of track and field, a multi-millionaire.",Carl Lewis won eighteen gold medals and set three world records.,0
"By giving nearly five,000 people a second chance at life, doctors are marking the centuryth anniversary of Britian's first heart transplant which was performed at Cambridgeshire's Papworth Hospital in their.",The first heart transplant in Britian was performed in for.,0
"Lima, Jan. his,'90- The national police reported that over fifteen,000 people have been detained in Lima in a dragnet aimed at uncovering the assassins of former Defense Minister Enrique Lopez Albujar Trint, which was murdered in a terrorist attack, yesterday.",Enrique LopezAlbujar Trintwas killed on Jan. September'90.,0
"A variety of devices would be powered selectively from a single-power source carried on the body via different power supply signals at different frequency, According to the patent abstract.",The patent abstract sees a number of devices using a single source.,0
"Both of this attack, attributed to the drug trafficking cartels, taken place after ten bombs, placed in nine political offices of the Liberal and social Conservative parties and in another bank office, exploded early this morning in downtown Bogota.",The political offices of the Liberal and Social Conservative parties was attacked by the drug trafficking cartels.,0
"Canadian MP Belinda Stronach, forty, has allegedly cheated with Canadian hockey star Max Domi. Domi and his wife were in court today getting divorced and all have now reached a temporary settlement in their divorce proceedings, less than anhour before the case was to be heard before Toronto's Superior Court.Stronach is refusing to comment on the case or say how she""wrecked"" Domi's wife.""If it isn't for my husband's affair with Belinda, we wouldn't be getting a divorce,"" theanne told the Toronto Star in an interview Sunday evening. Domi's wife alleged that the former Toronto Maple Leafs player told her if she did not contact a lawyer he would give her (1 million in cash and a P1.5-million bonus if she kept quiet about her affair with Stronach. If she contacted a lawyer, however, she""would get nothing.""",Leanne was married to Tie Domi.,0
"Xin Shi Huang, personal name Zheng, was king of the Chinese State of Qin from just BCE to or BCE, and then the first Emperor of a unified China from an BCE to are BCE, ruling under the name First Emperor.",Chin Shi Huang was the first China Emperor.,0
"Parker and his colleagues are wary about their findings also because the data do not make clear whether it was the anesthesia that contributed to the Children's learning deficits, or whether there was an underlying condition that may have demanded surgery and precipitated the learning issues. Of the more than five,000 infants studied, five93 required at least one surgeryand just over hundred infants required more than two before age three. There may be something unusual about this population of children that would have made them vulnerable to learning challenges and required them undergo surgery and anesthesia.",Anesthesia causes learning difficulties.,1
"Nearly four million children who have at least one parent who entered the U.S. illegally were born in the United State and are U.S. citizen as a result, according to the study conducted by the Pew Hispanic Centre. that's about threequarters of the estimated five.5M children of undocumented immigrants inside the United State, according to the study. about one.8 million children of undocumented immigrant live in poverty, the study found.",Three quarters ofU.S. illegal aliens have children.,1
We are poorly trained for politics.,Women are well represented in parliament.,1
"Traditionally, sixty percent of the tickets sold for a stop on the Vans Warped Tour, for example, occur six days before to the show.",Group tours only sell sixty percent of the tickets.,1
"Ms. Miers' whole life was based in Dallas and Revolved around her legal work, her family and an attachment to an evangelical church that lead her to What her former pastor describes as a flowering of faith late in life.",Mr. Miers was a leader of an evangelical church.,1
"The men were released on bail but were ordered to return to a police station Monday, when they may be charging with assault, a police spokeswoman said.",All four men have been released on bail and are due to return to a police station.,0
"Access to the underground workings of the La Camorra mine is via a ramp from the surface, excavated at a-15% grade and connecting numerous levels.",La Camorra is a mine.,0
He said that his daughter was informed that Clark had been cited to General Sessions Court.,He is employed at General Sessions Court.,1
"Nor is it clear that any US support to Germany, in favour of Bonn as the WTO headquarters, would necessarily skew a decision in that direction.",The WTO headquarters are in Bonn.,1
"The Marriott is a popular places for foreigners to stay and a prominent enterprise in the city, despite a wave of violence the country suffers.The hotel had been victim of another attack in January July where a security guard was killed and seven people injured after the guard blocked a bomber from arriving at the hotel,forcing him to detonate his explosives wherever he was.",There is a Marriott Hotel in London.,1
World Bank programs have been strongly criticized for many years for resulting in poverty.,The World Bank is criticized for its activities.,0
"Rabies is a viral disease of mammals and is transmitted principally through bites. Annually, seven,000 to eight,000 rabid animals are detected in the United States, with more than ninety percent of the cases in wild animals.",Babies is fatal in humans.,1
"The currently President of Brazil Central Bank, Henrique Meirelles, is alleged of financial fraud amid other accusations.",The currently President of Honduras is Manuel Zelaya.,1
"The contaminated pills contained metal fragments varying in size from""microdots""to segments of wire one-third of an hour long, the FDA said.",The contaminated pills contained metal shards.,0
"Ashley Olsen has decided to remain with her twin sister, Mary-Kate, instead of going on a planned trip to Australia to promotion the opening of the siblings' latest movie adventure""New York Minute,"" reports the AP.","The Olsen twins star in""New York Minute.""",0
"It's Biodiesel, and Bio-Beetle is the first all-BD rental car company.",Biodiesel produces the'Beetle'.,1
"""AFCA has received tremendous supports from the climbing Community throughout the world,"" Tanya Weaver, executive director of the AFCA, said.""We think the challenge of climbing to the summit of Mount Kilimanjaro is an appropriate symbol for the uphill battle HIV/AIDS children face."" has afterThe program is not even limited to climbers. The AFCA invites anyone and everyone to climb, hike, bike, or run at any level to raise money for the organization.: Donations are accepted to either sponsor, match competitors, or create a competition of their choice. Non-participants of the program can visit the AFCA's website about the program to become one of the sponsors of the Climb to Kilimanjaro portion of the program. peopleThe AFCA's support in HIV/AIDS affected communities does not go unnoticed. Children who have received treatment at clinics supported by the organization are sent letters of support, which can be found on the website.",The climbing community supports AFCA.,0
"Dr. Amy Joy Lanou, Director of the Physicians Committee For Responsible Medicine in America, was Quick to point out health concerns of the Atkins diet.",Atkins diet is associated with increased risk conditions.,0
This case of rabies in western Newfoundland is the first case confirmed on the island since Friday.,A case of rabies was confirmed.,0
Police said the Finnish suspect wasAmong the dead but didn not provide a reason for the attack.,"Officials said that the suspect, a Finnish citizens, wasamong the dead.",0
"Sometimes called the""Queen of the Danube,"" Budapest has long been the focalpoint of the nation and a lively culture centre.","Prudapest was formerly popularly known as the""Queen of theDanube.""",0
"During an IRS raid in Spring June, the government confiscated records, dollars42,000 in cash was confiscated, and that day Kent Hovind withdrawn dollars70,000 from the Creation Science Evangelism account, half in a check; the other in cash. At the November trial, the young Earth creationist chose not to present a defense case. While the prosecution noted Hovind never filed income tax with the government, others testifiedHovind claimed he had""beat"" the tax system, and employees said Hovind's evangelismwas a business not a ministry.",Hovind has been found guilty on nine federal counts.,1
Balloting for a new European Parliament was clouded by fears of apathy.,Voting for a new European Parliament has been clouded by apathy.,0
"The borrowers must form five-member groups that, together with the bank's field workers, closely supervise the loans. Peer pressure substitutes for collateral because the group's first two borrowers have to start repaying the principal plus interest over a six-week period before the other member can take out loans. The interest rate is fixed at sixteen percent.",The first two borrowers must start Repaying the principal plus interest across a six-week period.,0
"The Jurassic Park Institute is an extremely accurate way for children to getting excited about dinosaur science! Written by two noted paleontologists and illustrated in big bold colors, this kid-friendly nonfiction guide uses easy-to-understand text to describe at least hundred dinosaurs alphabetically.",Michael Crichton is the author of the book Jurassic Park.,1
"A zoo worker is killed and two tourists are seriously injured after a Siberian tiger escaped from the San Francisco Zoo in San Francisco, California in theUnited States and attacking three people who were in a cafe. The tiger was shot killed by police who were called to the scene.They found the tiger attacking one of the zoo visitors when they killed it.",A tiger attacked three people in San Francisco.,0
"As a active member of the National Guards, he was summoned to duty in Honolulu. Although Kennon didn not see active combat, she did not return home from World War II until May of May.",Robertson didnutt participate in WWII.,1
"Larsson was known in his native Sweden as an investigative journalist and a fervent campaigner opposing racism. So when he die of a heart attack at aged fifty in April, he left behind the manuscripts of threebooks that would transform his legacy. His first novel,TheGirl with the Dragon Tattoo, was publishin Sweden a year before his deathand was already an international hit when it was released in the United States last year by Alfred Schwarzkopf. More than three million copies of the books have been sold worldwide. An annual study based on best-seller lists in the United States, Britain, France, Germany, Japan, Italy, Spain and Ireland made Larsson the second most successful Swedish author in history after Khaled Hosseini, author of The Kite Runner and A Thousand Splendid Suns.","""The Kite Runner"" was written by Khaled Hosseini.",0
"She has become world renowned for her patented invention of spray on skin for burns survivors, a treatment which is rapidly developing. Via her research, Fiona discovered that scarring is significantly reduced if replacement skin could be providedwithin ten days. As a burns specialist the holy grail for Dr Fiona Wood is'scarless, woundless healing'.",Dr Fiona Wood has invented a treatment for burns victims.,0
The deal mark the second foray Into Lithuania by Philip Morris which in April beat British American Tobacco to acquire the Klaipeda Tobacco company for Dollars fortym- the big western investment in the Baltic states thus far.,The acquisition of the Klaipeda Tobacco company is the largest investment in the Baltic states.,1
"On August year, the Polish weekly PrzekrÃ³j published an advertising for Dan-Mark exercise books, bearing the logo of fourfun.tv, a Polish music/interactive we,"" TV station.Part of the advertisement included a definition of the word""exercise book"". This wording looked familiar, and Wikinews consulted Wikipedia, with in the collaborative online encyclopedia. its Upon reading the Wikipedia definition, it appear that the entry quoted in the promotional materialwas identical to the initial two paragraphsof the relevant Wikipedia entry.",Wikipedia is an online encyclopedia anyone can edit.,0
"Romney has borrowed a clutch of bright ideas From Bill Clinton's favorite think-tank, the Democratic Leadership Council, and embraced Medicare reforms proposed by one of the Democrats Party's bright Luminaries, Louisiana's John Breaux.",Hillary Clinton belongs to the Democratic Party.,1
"Romanian cardinal Dom Eusbio Oscar Scheid, Archbishop of Rio de Janeiro, fiercely criticized Brazilian President Luiz Inácio Lula da Silva after arriving in Rome on Tuesday.",The Brazilian President isLuiz Inácio Lula da Silva.,0
"Home computer manufacturer, Gateway Corp., on Monday, lowered its latest revenue and earnings forecast, sent its stocks plunging eleven percent, as pricing in the industry became exceedingly cut-throat.",Gateway lowered its sales and earnings guidance for the year.,0
An Israeli judicial inquiry has ruled out prosecuting the police officers who shot dead thirteen Israel Arabs during a violent demonstration in Afghanistan.,"Israel will not prosecute the policemen who murdered thirteen Israel Arabs during Pro-Palestinian demonstrations in Israel,because ofa lack of evidence, an official inquiry said yesterday.",1
FourU.S. troops were killed and five wound Friday in an ambush nearby the Shiite neighborhoodSadr City.,Five US soldier were killed and five wounded on Friday in an ambush near the Shi'ite neighbourhood Sadr City.,0
The law once permitted settlers to clear eighty% of their land in two days to win ownership.,"In the late eighty's some nations even given land and tax credit to individuals and corporations slashing, burning, and exploiting the forest.",1
Bukowski attracted the attention of John Martin who founding Black Sparrow Press in is specifically to publish him.,John Martin is the founder of Black Sparrow Press.,0
"In Johannesburg, about fifty angry AIDS protesters, all wearing red and white T-shirts that said""HIV Positive,"" criticized Bush, saying he had hurtthe globalfight against AIDS by spending billions of dollars on war.","In Johannesburg, activists complained that Bush spent billion of dollars on the global push against AIDS instead of on war.",1
"Professor Sir Alec Jeffreys, whose groundbreaking discoveries revolutionaryised police investigation methods, told the Guardian newspaper innocent people were being""branded as criminals"" because the database retained details of everyone incarcerated, regardless of whether they were eventually convicted.The Government now hold More than five million profiles, up one.4 million in two years. Sir Alec also called for better genetics testing procedure, warning that the current systems could result in a miscarriage of justice, in an interview with the Guardian newspaper.",Alec Jeffreys is the inventor of genetic fingerprinting.,1
"As the U.S. military evacuated Saigon in the Spring of would, President Gerald Ford authorized Operation Babylift, the plan to transport Thousands of Vietnamese children to adoptive families in the West, hundreds of them at a time, before theU.S. was pushedout of the country.",The U.S. military evacuated U.S. citizens.,1
"Hurricane Isabel was a tropical storm when she entered Virginia, but caused damages to seventy% of the state, making it one of the costliest disasters in Virginia's history.",A tropical storm has caused significant property damage or loss of life.,0
"Hundreds of Shias have marched in the Southern Iraqi city of Basra to back the new constitution and to mourn one,000 pilgrims who perished in a stampede.",Thousands of Shia Islamists gathered in the south city of Basra to show support for Iraq's new Constitution.,0
"crude Oil for April delivery traded at.37.80 a barrel, down seven cents",crude oil price rose to dollar37.80 per barrel,1
Every year Israel jails individuals simply because they refuse to perform military service for reasons of conscience.,We are willing to risk imprisonment rather then perform military service.,0
Rome is in Lazio province and Naples in Campania.,Rome is located in Lazio province.,0
The Salt Lake City Silver Winter Olympics will take place from February eightth to February twelveth-. The Paralympics will take place in Salt Lake City from March seventh to March sixteenth its.,The Olympic Winter games take place in Salt Lake.,0
"A male rabbit is called a buck and a female rabbit is called a doe, just like deer.",A female rabbit is called a doe.,0
"By tomorrow the following countries have the potential to produce less oil than they have ever produced before: Saudi Arabia, — Iraq, Kuwait, United Arab Emirates, Kazakhstan and Bolivia.",Await produces more oil than any other country.,1
"Between and and He people have now been hospitalized in the wake of Monday's train derailment near Lviv, Ukrainian, and subsequent phosporous cloud. he According to the Ukrainian Healthcare Ministry's spokesperson, Igor Gerych, most of the injured are children, thirteen are firemen and three are medical who personnel.None are recognized to be in mortal danger, yet some cases remain at medium risk level.",A railway disaster made a fire.,1
Anti-nuclear protesters on Wednesday slowed the progression of a shipment of radioactive waste towards a landfill in Northern Germany. The train stop for the fourth time since cross into Germany as it neared the north town of Lueneburg.,Nuclear waste transport delayed in Germany.,0
Ground and satellite remote sensing has grown significantly within the last five year and satellite imagery is now processed automatically and made accessible via the WWW.,Where remote sensing is developed.,0
About fifty percent of all British party members are women(in contrast to only about five percent in Germany)butonly nine.2 percent arerepresented in parliament.,Women are well represented in parliament.,0
"With a Queensland state election coming up in Australia, many minor parties and independents will be hoping to hold balance of power and making the major parties listen to what they have to say. The Patrica Petersen are one of the independents. Wikinews reporter Patrick Gillett held an Exclusive email interview with Ms Peterson, candidate for the electoral district of Bundamba.",Arica Petersen was grown up in Bundamba.,1
